Question,Answer
Are there any alumni who have worked in retail or e-commerce?,Implied through digital marketing and web application experience
Are there any alumni who have worked in biotechnology or life sciences?,"Yes, Mr. Ojas Mahapatra in biotech and nanotechnology"
Are there any alumni who have worked in AI or robotics?,"Yes, Mr. Ravi Kiran in AI and healthcare, Mr. Muneyb Minhazuddin in scalable AI software"
Are there any alumni who have worked in space or satellite tech?,Not explicitly mentioned
Are there any alumni who have worked in gaming or entertainment?,"Yes, Mr. Sam Anton as film director"
Are there any alumni who have worked in law or legal tech?,Not explicitly mentioned
Are there any alumni who have worked in real estate or construction?,"Yes, Mr. T.G. Sekar in civil engineering and modern construction techniques"
Are there any alumni who have worked in hospitality or tourism?,Not explicitly mentioned
Are there any alumni who have worked in fashion or lifestyle?,Not explicitly mentioned
Are there any alumni who have worked in journalism or media?,Implied through Mr. Sriram Krishnan’s podcast and YouTube channel
Are there any alumni who have worked in cybersecurity or data privacy?,Not explicitly mentioned
Are there any alumni who have worked in blockchain or crypto?,Not explicitly mentioned
Are there any alumni who have worked in quantum computing or deep tech?,Not explicitly mentioned
Are there any alumni who have worked in autonomous vehicles or drones?,Not explicitly mentioned
Are there any alumni who have worked in cloud computing or DevOps?,Implied through software leadership roles
Are there any alumni who have worked in embedded systems or hardware engineering?,"Yes, Mr. Ravi Kiran in embedded systems, Mr. Muneyb Minhazuddin in kernel development"
Are there any alumni who have worked in AI ethics or responsible AI?,Not explicitly mentioned
Are there any alumni who have worked in AI for Good or Social Impact?,"Yes, Mr. Dayanand Krishnan in urban reform, Mr. Ravi Kunduru in healthcare AI"
How many notable alumni profiles are included in this dataset?,There are 10 detailed alumni profiles listed.
Who is Mr. T.G. Sekar and what is he known for?,Mr. T.G. Sekar is a Business Leader known for over 33 years in construction with a passion for modern Civil Engineering techniques.
What degree did Mr. T.G. Sekar earn?,He earned a degree in Civil Engineering.
What makes Mr. T.G. Sekar stand out professionally?,He is a pioneer in adopting advanced technologies in civil construction.
What has Mr. Sushil Kumar Eashwaran contributed to industry?,"He has transformed industrial water standards through innovations in desalination, beverage processing, and disinfection technology."
Which organization does Mr. Sushil Kumar Eashwaran work with?,He works with Canadian Crystalline Water India Pvt Ltd.
Is Mr. Sushil Kumar Eashwaran involved in any social causes?,"Yes, he is a philanthropist in education and environmental causes."
What field is Mr. Madhukumar Boppana active in?,He is an expert in renewable energy communication and media strategy in India.
What degree did Mr. Madhukumar Boppana earn?,He earned a Mechanical Engineering degree.
Which company does Mr. Madhukumar Boppana represent?,He represents Siemens Gamesa Renewable Energy.
Who is Mr. Balaji S and where does he work?,"Mr. Joel Johnson specializes in building full-suite IT services firms focusing on digital marketing and web apps. | He specializes in IT services, digital marketing, and web applications."
What is Mr. Balaji S's educational background?,He studied Mechanical Engineering and graduated in 1993.
How long has Mr. Balaji S been in the industry?,He has 29 years of experience in manufacturing systems engineering and IT implementation.
What major project has Mr. Balaji S led?,He led SAP ERP rollouts and the 'Future Factory' strategy at Brakes India.
Who is V. Ravichandran and what company did he start?,V. Ravichandran is the Founder & CEO of Inventaa Lighting.
What impact has V. Ravichandran made in the lighting industry?,He founded a ₹100 crore lighting company with over 2000 models and introduced polycarbonate garden lights.
What degree did V. Ravichandran earn?,He holds a Mechanical Engineering degree.
Who is Mr. Krishnakumar Raman and where is he employed?,He is the Director Operations at M M Forgings Ltd.
What is Mr. Krishnakumar Raman’s educational background?,He studied Mechanical Engineering and later earned a Master's from IIT Madras and PGCBM from XLRI.
What is Mr. Krishnakumar Raman passionate about besides work?,He is passionate about fitness and mentoring young professionals.
Who is Mr. Umesh Kumar and what role does he play?,Mr. Umesh Kumar is a Senior Project Development Manager at ProCeed SaaS Sdn Bhd.
What is Mr. Umesh Kumar’s current employer?,He works at ProCeed SaaS and previously worked at Wells Fargo.
How many years has Mr. Umesh Kumar been in the tech industry?,He has over 20 years of global project leadership experience.
Who is Mr. Muneyb Minhazuddin and where does he work?,Dr. Baby Sam Samuel is responsible for efficient administrative and exam processes in NYC and ensures transparency and fairness in civil service exams. | He oversees administrative and exam processes in New York City and ensures transparency in civil service exams.
What is his area of expertise?,"He specializes in Linux Kernel Development, Scalable Software Strategy, and International Technology Patents."
What degree did Mr. Muneyb Minhazuddin earn?,He earned a B.E. in Electronics and Communication Engineering (ECE).
What kind of impact has Mr. Muneyb Minhazuddin had globally?,He has played a key role in billion-dollar business growth and 10X scaling of portfolios at Intel.
Who is Mr. Thameem Kamaldeen and what position does he hold?,He is the Managing Director at Alstom Transport India.
What is Mr. Thameem Kamaldeen's contribution to transportation?,He is instrumental in making Alstom a market leader in Metro rail signaling and oversees R&D across 14 countries.
What degree did Mr. Thameem Kamaldeen earn?,He earned a B.E. in Electronics and Communication Engineering (ECE).
Who is Mr. Dayanand Krishnan and what cause is he associated with?,Mr. Dayanand Krishnan is an Environmental Activist and Urban Reformer.
What environmental initiatives has Mr. Dayanand Krishnan led?,He spearheaded Chitlapakkam Lake restoration and rainwater harvesting projects in Tamil Nadu.
What other social issues is Mr. Dayanand Krishnan involved in?,He advocates for differently-abled accessibility and wildlife protection.
What degree did Mr. Dayanand Krishnan earn?,He earned a Civil Engineering degree.
Are there any public service leaders in the alumni list?,"Yes, Mr. Dayanand Krishnan is actively involved in environmental activism and urban reform."
Are there any alumni working in renewable energy?,"Yes, Mr. Madhukumar Boppana is a senior communications professional at Siemens Gamesa Renewable Energy."
Are there any alumni who have worked on railway infrastructure?,"Yes, Mr. Thameem Kamaldeen leads Metro rail signaling solutions at Alstom Transport India."
Are there any alumni in software development or digital transformation?,"Yes, Mr. Umesh Kumar has expertise in AWS, .Net, and Project Management, and has worked at Wells Fargo and ProCeed SaaS."
Are there any alumni in the water purification sector?,"Yes, Mr. Sushil Kumar Eashwaran works in desalination and water disinfection technology."
Are there any alumni recognized for innovation in lighting?,"Yes, V. Ravichandran introduced polycarbonate garden lights that revolutionized outdoor lighting in India."
Are there any alumni who have held leadership roles in large corporations?,"Yes, several alumni including Mr. T.G. Sekar, Mr. Madhukumar Boppana, and Mr. Thameem Kamaldeen hold leadership positions."
Are there any alumni from the class of 1991?,"Yes, Mr. T.G. Sekar graduated in 1991 with a degree in Civil Engineering."
Are there any alumni in corporate communications?,"Yes, Mr. Madhukumar Boppana is a Senior Corporate Communications Professional at Siemens Gamesa."
Are there any alumni in the rail transport sector?,"Yes, Mr. Thameem Kamaldeen leads Alstom's rail signaling division in India."
Are there any alumni working in project management and digital transformation?,"Yes, Mr. Umesh Kumar has over 20 years of experience in these areas."
Are there any alumni in the manufacturing industry?,"Yes, Mr. Krishnakumar Raman and Mr. Balaji S have significant experience in manufacturing and automation."
Are there any alumni focused on sustainability and environment?,"Yes, Mr. Dayanand Krishnan is a leading environmental activist in Tamil Nadu."
Are there any alumni who have founded startups?,"Yes, V. Ravichandran and Mr. Umesh Kumar are founders or co-founders of innovative companies."
Can you tell me about Mr. Ravi Kunduru?,Mr. Ravi Kunduru is a Business Leader and Founder & CEO of QurHealth. He graduated in B.Tech CSE in 1995 and has been honored with several awards including the SRM Business and Innovation Award 2021.
Which company does Nivetha Thomas work for?,"Nivetha Thomas is an Indian actress who appears in Telugu, Malayalam, and Tamil films."
Is Nivetha Thomas an alumnus of SRMIST?,"Yes, she studied B.Arch at SRMIST."
Which field is Vikraman Vasudevan known for?,Vikraman Vasudevan is known for his career in civil services and is currently an IPS Officer.
Did Vikraman Vasudevan qualify for the Indian Civil Services Examination?,"Yes, he qualified with an All India Rank of 84."
Can I get details about Sheela Kunduru's degree?,There is no specific information provided about Sheela Kunduru’s degree.
Is Sheela Kunduru associated with any company?,"Yes, she is the Founder & President of Sritech Global Inc."
Tell me about Sudha Jamthe.,Sudha Jamthe is the CEO of IOT Disruptions.com and is recognized for her work in the Internet of Things (IoT) space.
Has Sudha Jamthe received any degrees from SRMIST?,There is no specific degree information mentioned for Sudha Jamthe.
Who is Ashok Ramachandran?,The first PG program is the MBA. | The second PG program is M.Tech Computer Science.
Can I pursue a career in nanotechnology after SRMIST?,"Yes, alumni like Ojas Mahapatra have pursued Ph.D. in Nanotechnology and founded biotech companies."
Tell me about Ojas Mahapatra.,"The MBA program is available both as full-time and part-time. | The Master of Public Health (MPH) program is offered as a full-time postgraduate degree. | The MSc Nursing program is likely full-time, as no alternative formats are mentioned."
Who is Sam Anton and what is he known for?,Sam Anton is an Indian film director and screenwriter known for directing horror comedies and youth-centric films like 'Darling' and 'Gurkha'.
Did Sam Anton study engineering at SRMIST?,"Yes, he studied B.Tech in Computer Science and Engineering at SRMIST."
Tell me about Dr. Ashhar Ahmed Shaikh.,Dr. Ashhar Ahmed Shaikh is the Founder & CMO of Explorica and also founded SkillShark EduTech. He advises EV startups and has been awarded for innovation and research.
Is Dr. Ashhar Ahmed Shaikh involved in EV technology?,"Yes, he advises EV startups like EV4INDIA and ERKEY Motors."
Who is Sudharsan Varatharajan?,"Sudharsan Varatharajan is the CEO and Co-Founder of Bversity, working to revolutionize science education in India."
Did Sudharsan Varatharajan win any awards?,He has done groundbreaking research in Duchenne muscular dystrophy and cancer modeling.
Tell me about Maanasa Gopal.,Maanasa Gopal is the CEO of SitesGo and NinjaReach Singapore. She has traveled to all seven continents while working full-time and made the world's longest food delivery to Antarctica.
Has Maanasa Gopal contributed to climate change awareness?,"Yes, she represented India in an International Antarctic Expedition focused on climate change."
Who is M. Asif Hussain?,M. Asif Hussain is a Senior Power BI Developer and has received multiple humanitarian and technical awards including the Indian Humanitarian Award.
Has M. Asif Hussain contributed to social causes?,"Yes, he has been recognized for social activism and IoT-based manufacturing projects."
Tell me about Soham Dixit.,Soham Dixit is a Senior Technical Lead at Bajaj Finserv Health. He co-founded WorkReWorkspaces and won several hackathons including Smart India Hackathon and Airbus Hackathon.
Is Soham Dixit involved in government projects?,"Yes, he led digitization of CPI data collection for the Ministry of Statistics."
Who is D. P. Ezhilmathi?,D. P. Ezhilmathi is a volleyball player who has won several national-level competitions including Khelo India University Games and All India Inter University Championships.
Has D. P. Ezhilmathi won international recognition?,"Yes, she secured 7th place in the Senior Asian Championship 2023."
Tell me about Blessin George Varghese.,Blessin George Varghese is a Senior Lead Backend Engineer at Bajaj Finserv Health. He has led teams of engineers and won top hackathon positions.
Did Blessin George Varghese participate in hackathons?,"Yes, he secured #1 position in Smart India Hackathon 2019 and 2020."
Who is Karthick R?,Karthick R is the founder of MadrasBikeCare Group of Companies and has been recognized for contributions to the biking industry.
Did Karthick R receive any awards?,"Yes, he received the Real Hero Award from Cinema and recognition for best bike painting and modification."
Tell me about Dr. S. Udhayam.,"The dataset doesn't provide information about infrastructure or lab facilities for M.Tech students. | Yes, students have access to computer labs and data analytics tools like SPSS, STATA, SAS, R, and Python."
Has Dr. S. Udhayam presented at conferences?,"Yes, he has presented at national and international medical conferences."
Who is Neelesh Kumar Kuppala?,Neelesh Kumar Kuppala is Managing Director at KGK Properties and BKM Infra and has contributed to pandemic relief efforts by providing groceries and medicines to families.
Has Neelesh Kumar Kuppala helped teachers during the pandemic?,"Yes, he supported teachers affected by job losses during the pandemic."
Who is Ms. Nivetha Thomas?,"Ms. Nivetha Thomas is an Indian actress who appears in Telugu, Malayalam, and Tamil films. She graduated with a B.Arch from SRMIST."
What film did Nivetha Thomas win an award for as a child artist?,She won the Kerala State Film Award for Best Child Artist for her role in 'Veruthe Oru Bharya' (2008).
What degree did Ravi Kunduru earn at SRMIST?,Ravi Kunduru earned a B.Tech in Computer Science Engineering from SRMIST and graduated in 1995.
Which organization does Mrs. Sheela Kunduru lead?,Mrs. Sheela Kunduru is the Founder & President of Sritech Global Inc.
What is Dr. Sudha Jamthe's area of expertise?,Dr. Sudha Jamthe is an expert in Generative AI and its practical applications in business. She teaches at the Business School of AI.
What book did Dr. Sudha Jamthe write?,Dr. Sudha Jamthe authored the book 'Generative AI @ Business School of AI'.
What is Mr. Ashok Ramachandran’s role at JSW Energy?,He is the Chief Operating Officer (COO) of JSW Energy and oversees operations and strategic initiatives.
Which university did Ashok Ramachandran attend?,Ashok Ramachandran graduated with a B.E in Instrumentation & Control Engineering from SRMIST in 2002.
Where is Dr. Ojas Mahapatra currently working?,Dr. Ojas Mahapatra is the CEO of FABRUM in New Zealand.
What recognition has Dr. Ojas Mahapatra received?,He has been recognized as one of New Zealand’s top emerging executives and was awarded a Prime Minister’s Business Scholarship.
Which university did Sriram Krishnan attend?,Sriram Krishnan studied Information Technology at SRMIST and graduated in 2005.
What is Sriram Krishnan’s current job?,"To become a leading center for pharmacy research that contributes to global health through innovation, interdisciplinary collaboration, and translational research. | 1. Promote cutting-edge research in pharmaceutical sciences.\n2. Foster experiential learning through modern teaching methodologies.\n3. Encourage industry and community engagement through consultancy and collaborative projects."
What does Vikraman Vasudevan do?,"Vikraman Vasudevan is the Deputy Inspector General of Police at the National Investigation Agency (NIA), handling national security and counter-terrorism cases."
What degree did Vikraman Vasudevan earn at SRMIST?,He earned a B.Tech in Computer Science Engineering from SRMIST in 2005.
What degree did Sam Anton earn at SRMIST?,Sam Anton graduated with a B.Tech in Computer Science Engineering from SRMIST in 2007.
Where does Sam Anton work?,Sam Anton works in the Tamil Cinema Industry as a film director and screenwriter.
Who is Dr. Nikhil Chaudhary?,"Dr. Nikhil Chaudhary is a nutritionist and CEO of Nikhil Chaudhary Wellness, promoting holistic health through personalized nutrition plans."
What degree did Dr. Nikhil Chaudhary earn at SRMIST?,He earned a B.Tech in Biotechnology from SRMIST in 2009.
What are some of the global achievements of SRMIST alumni?,"Yes, faculty members participate in both national and international conferences. | Yes, students are encouraged to present papers and attend conferences globally."
Are there any SRMIST alumni working in public service?,"Yes, alumni like Vikraman Vasudevan (NIA) and Sriram Krishnan (White House) have made significant contributions to public service."
Have any SRMIST alumni founded startups or SMEs?,"Yes, alumni like Ravi Kunduru (QurHealth), Sheela Kunduru (Sritech Global), and Ojas Mahapatra (FABRUM) have founded successful startups and SMEs."
Are there any SRMIST alumni in the AI or tech policy field?,"Yes, Sriram Krishnan and Dr. Sudha Jamthe are prominent figures in AI and tech policy leadership."
Is there any information about contacting the SRMIST Alumni Cell?,"Yes, you can contact the Alumni Cell via email at alumni.office@srmist.edu.in."
Can I get more details about SRMIST alumni?,"Yes, you can visit the official Notable Alumni page at https://www.srmist.edu.in/alumni-affairs/notable-alumni/ for more information."
What is the title of the Alumni Page of SRMIST?,The title of the Alumni Page of SRMIST is 'Notable Alumni'.
Can you tell me about the introduction to the Notable Alumni section of SRMIST?,"The introduction to the Notable Alumni section states that it showcases SRMIST alumni who have excelled in various fields such as business, entrepreneurship, public service, arts, science, technology, sports, and civil services."
What did Mr. Srinivasan Ramadoss achieve in his career?,"Mr. Srinivasan Ramadoss has spearheaded structural steel design for iconic global projects like high-rise buildings and stadiums, managed multi-million-dollar engineering projects with international standards compliance, and promoted advanced engineering technologies to improve precision and cost efficiency."
Which university did Mr. Srinivasan Ramadoss attend?,Mr. Srinivasan Ramadoss attended SRM Institute of Science and Technology.
What is Mr. Ravi Kiran’s designation?,Mr. Ravi Kiran is the CTO of QurHealth.
Which field does Mr. Ravi Kiran belong to?,Mr. Ravi Kiran belongs to the field of Computer Science and Entrepreneurship.
How many patents does Mr. Ravi Kiran hold?,"Mr. Ravi Kiran holds nine patents in Embedded Systems, AI, and healthcare applications."
What was Mr. Ravi Kiran’s role in GoDB Tech?,"Mr. Ravi Kiran co-founded GoDB Tech in 1999, which was funded by Intel Ventures."
Who founded JSR Tech Solutions?,JSR Tech Solutions was founded by Mr. Joel Johnson.
What is Mr. Joel Johnson’s current position?,"Mr. Joel Johnson is the Director at JSR Tech Solutions, Inc."
Which degree did Mr. Joel Johnson earn from SRMIST?,Mr. Joel Johnson earned a degree in Mechanical Engineering from SRMIST.
What does Mr. Joel Johnson specialize in?,Mr. Joel Johnson specializes in building full-suite IT services firms focusing on digital marketing and web apps.
Tell me about Mr. Senthil Thiyagarajan.,"Mr. Senthil Thiyagarajan is a Sports Star and alumnus of SRMIST (Batch 1995), holding a degree in Computer Science and Engineering. He is a WKF Karate Referee and a 12-time Indian National Karate Champion."
What achievements does Mr. Senthil Thiyagarajan have?,"Mr. Senthil Thiyagarajan has won silver medals at the South Asian Games, is a 7th-degree black belt, and is the founder and chief instructor of Champion Karate Academy."
What is Dr. Prema Sekar’s highest qualification?,Dr. Prema Sekar holds a PhD in Nursing along with certifications in NABH and bioethics.
How many years of experience does Dr. Prema Sekar have?,Dr. Prema Sekar has over 26 years of teaching and clinical experience.
What is Mr. Sathish Vaidyanathan known for?,Mr. Sathish Vaidyanathan is known for leading PayPal’s successful market launch in India and driving billion-dollar revenues through the Payments Expansion Team.
Which university did Mr. Sathish Vaidyanathan attend?,"Mr. Sathish Vaidyanathan attended SRM Institute of Science and Technology, graduating with a B.E in Computer Science and Engineering in 1997."
What CSR initiatives is Mr. Sathish Vaidyanathan involved in?,Mr. Sathish Vaidyanathan is actively engaged in CSR initiatives via GIVES team at PayPal.
What innovations has Mr. Girish Pandian V K brought to his company?,"Mr. Girish Pandian V K has driven operational excellence and innovation in engineering solutions, expanded capabilities across industries, and focused on continuous improvement and technological advancement."
What is Mr. R. Manikandan’s designation?,Mr. R. Manikandan is the Senior Vice President at Granules India Limited.
What field did Mr. R. Manikandan study at SRMIST?,Mr. R. Manikandan studied B.Pharm at SRMIST and graduated in 1997.
What impact has Mr. R. Manikandan made in the pharmaceutical industry?,Mr. R. Manikandan has led over 100+ complex dosage form projects and revolutionized research and innovation in the pharma sector.
What responsibilities does Dr. Baby Sam Samuel have?,Dr. Baby Sam Samuel is responsible for efficient administrative and exam processes in NYC and ensures transparency and fairness in civil service exams.
What contributions has Mr. Pramod Madhavan made to youth empowerment?,Mr. Pramod Madhavan initiated free Salesforce training programs for youth empowerment.
Who is Mr. Karthick R?,Mr. Karthick R is an Entrepreneur and Founder of MadrasBikeCare Group of Companies. He graduated from SRMIST in 2016 with a BBA.
What awards has Mr. Karthick R received?,Mr. Karthick R has been awarded the Real Hero Award from Cinema and recognized for South India’s Best Painting and Chennai Best Modification.
Who is Dr. S. Udhayam?,Dr. S. Udhayam is a Business Leader and Consultant and Lead of Department of Laparoscopic GI and General Surgery at SRM GLOBAL Hospital. He graduated from SRMIST in 2017 with an MBBS.
What specialties does Dr. S. Udhayam have?,"Dr. S. Udhayam specializes in gastrointestinal, bariatric, and general surgeries."
What humanitarian efforts has Mr. Neelesh Kumar Kuppala undertaken?,Mr. Neelesh Kumar Kuppala provided groceries and medicines to over 400 families during the pandemic and helped teachers affected by job losses.
Who is Dr. Ashhar Ahmed Shaikh?,Dr. Ashhar Ahmed Shaikh is a Business Leader and Founder & CMO of Explorica. He graduated from SRMIST in 2018 with a B.Tech Mechatronics Engineering degree.
What sectors is Dr. Ashhar Ahmed Shaikh involved in?,Dr. Ashhar Ahmed Shaikh is involved in pioneering EV development and EdTech sectors as the founder of SkillShark EduTech and Explorica.io.
What contributions has Mr. Sudharsan Varatharajan made to science education?,Mr. Sudharsan Varatharajan is revolutionizing science education in India and conducting groundbreaking research in Duchenne muscular dystrophy.
Who is Ms. Maanasa Gopal?,Ms. Maanasa Gopal is an Entrepreneur and CEO of SitesGo and NinjaReach Singapore. She graduated from SRMIST in 2018 with a Chemical Engineering degree.
What adventures has Ms. Maanasa Gopal embarked on?,"Ms. Maanasa Gopal represented India twice in International Antarctic Expeditions for Climate Change, made the world’s longest food delivery to Antarctica, and is the youngest Indian to travel to all 7 continents while working full-time."
Who is Mr. Soham Dixit?,Mr. Soham Dixit is a Business Leader and Sr. Technical Lead at Bajaj Finserv Health. He graduated from SRMIST in 2020 with an IT degree.
What competitions has Mr. Soham Dixit won?,"Mr. Soham Dixit has won the Smart India Hackathon, Airbus Hackathon, and CTS Project Expo."
What sporting achievements does Ms. D. P. Ezhilmathi have?,"Ms. D. P. Ezhilmathi secured 7th place in the Senior Asian Championship 2023, won All India Inter University 2023 and 2022, and was awarded Best Player in South Zone Inter University 2019."
Who is Mr. Blessin George Varghese?,Mr. Blessin George Varghese is a Business Leader and Senior Lead - Backend Engineering and App at Bajaj Finserv Health. He graduated from SRMIST in 2020 with an IT degree.
Who is Mr. Murali Vijay?,Mr. Murali Vijay is a Sports Star and Indian Cricketer. He graduated from SRMIST in 2009 with an MBA.
What cricketing achievements does Mr. Murali Vijay have?,"Mr. Murali Vijay was a key member of the 2013 ICC Champions Trophy-winning Indian squad, played for Chennai Super Kings and Delhi Daredevils in IPL, and is a right-handed opening batsman with strong domestic performance."
Who is GM Deepan Chakkravarthy?,GM Deepan Chakkravarthy is a Sports Star and International Chess Player. He graduated from SRMIST in 2010 with an MBA.
What titles has GM Deepan Chakkravarthy won?,"GM Deepan Chakkravarthy is a Chess Grandmaster, winner of the 2007 Asian Indoor Games, and triumphed in the 2017 National Challengers Chess Championship and 2019 Lake City GM International Chess Tournament."
Who is Dr. Srini Ramaswamy?,"Dr. Srini Ramaswamy is a Business Leader and Vice President at iWorks Corporation, USA. He graduated from SRMIST in 1989 with a B.E degree."
What expertise does Dr. Srini Ramaswamy have?,"Dr. Srini Ramaswamy is an innovative problem solver in cloud, AI/ML, and digital transformation with three decades of experience contributing to organizational success across sectors."
Who is Dr. J Emerson Raja?,Dr. J Emerson Raja is a Public Service & Politics figure and Assistant Professor at Multimedia University. He graduated from SRMIST in 1989 with a B.E (CSE).
What academic contributions has Dr. J Emerson Raja made?,"Dr. J Emerson Raja has a Ph.D. in soft computing applications in machine health monitoring, received Excellent Teaching Awards, and published technical papers in IEEE events."
Who is Dr. Srikanth Narasimalu?,"Dr. Srikanth Narasimalu is a Business Leader and Program Director (Wind & Marine Energy Research) at Nanyang Technological University, Singapore. He graduated from SRMIST in 1990 with a B.E (Mech)."
What innovations has Dr. Srikanth Narasimalu introduced?,Dr. Srikanth Narasimalu has pioneered advancements in offshore wind and marine turbines and earned patents for innovative energy devices.
Who is Mr. Abdul Hakkem K?,"Mr. Abdul Hakkem K is a Public Service & Politics figure and Group Director, Water Resources Group at ISRO. He graduated from SRMIST in 1990 with a B.E (Civil)."
What work does Mr. Abdul Hakkem K do at ISRO?,"Mr. Abdul Hakkem K leads water resource management using satellite data, supports agriculture and urban planning decision-making, and focuses on sustainable water strategies."
Who is Ms. Rathika Ramasamy?,Ms. Rathika Ramasamy is an Artist and Wildlife Photographer. She graduated from SRMIST in 1990 with a B.E (CSE).
What photography accolades has Ms. Rathika Ramasamy received?,"Ms. Rathika Ramasamy is one of Top 20 Wildlife Photographers in India, has conducted photography workshops, and published a photo book titled 'The Best of Wildlife Moments'."
Who is Mr. KRS Narayan?,Mr. KRS Narayan is a Business Leader and New Business Development professional at Reliance. He graduated from SRMIST in 1991 with a B.E (Civil).
What strategy does Mr. KRS Narayan use in business development?,"Mr. KRS Narayan identifies emerging trends, forges strategic partnerships, and expands Reliance’s reach into new markets and verticals."
Who is Mr. S. Christy Rayan?,Mr. S. Christy Rayan is a Public Service & Politics figure and DVP & Branch Head at HDFC Bank. He graduated from SRMIST in 1991 with a Civil Engineering degree.
What leadership experience does Mr. S. Christy Rayan have?,"Mr. S. Christy Rayan has over 16 years of leadership experience at HDFC Bank, turned around branch business, and trained high-performing teams."
Who is Mr. K S Rajendra Kumar?,Mr. K S Rajendra Kumar is a Business Leader and COO at Lakshmi Ring Travellers. He graduated from SRMIST in 1991 with a Mechanical Engineering degree.
What global experience does Mr. K S Rajendra Kumar have?,"Mr. K S Rajendra Kumar has gained global experience in India, Middle East, USA, and Mexico and manages cross-cultural teams."
Can you tell me about the available postgraduate courses?,"The available postgraduate programs are: - MBA (2 years, Full-time / Part-time) - M.Tech Computer Science (2 years, Specializations: AI, Data Science, Cybersecurity)"
What is the name of the first PG program?,The first PG program is the MBA.
How long does the MBA program last?,The MBA program lasts 2 years.
Is the MBA program full-time or part-time?,The MBA program is available both as full-time and part-time.
What are the specializations under M.Tech Computer Science?,The M.Tech Computer Science program offers three specializations: 1. Artificial Intelligence (AI) 2. Data Science 3. Cybersecurity
Is the M.Tech program available part-time?,The mode of the M.Tech program was not specified in the dataset; only the MBA mentions full-time/part-time options.
What are the admission criteria for these programs?,Admission requires a bachelor’s degree in a relevant field with at least 50% marks. Some programs may require entrance exams.
Tell me about the grading system.,The grading system uses the following scale: - Grade O: 10 points - Grade A+: 9 points - Grade A: 8 points - Grade B+: 7 points - Grade B: 6 points - Grade C: 5 points - Grade F: 0 points
How are grades converted to points?,Each letter grade corresponds to a point value:
What is the passing grade?,A score of Grade C (5 points) is considered the minimum passing grade. Grade F (0 points) indicates failure.
Is Grade C a pass or fail?,Grade C is a passing grade with 5 points.
What happens if someone gets a Grade F?,Getting a Grade F means the student has failed the course and may need to retake it.
What is the duration of the M.Tech Computer Science program?,The M.Tech Computer Science program lasts for 2 years.
How many years does the MBA take to complete?,The MBA takes 2 years to complete.
What is the minimum percentage needed for admission?,Applicants must have at least 50% in their bachelor’s degree to be eligible for admission.
What happens if I can't attend full-time?,You may opt for the part-time mode of the MBA program if full-time attendance isn't possible.
Do both programs start at the same time every year?,The dataset does not specify exact start dates for either program.
Is there an option to add more specializations later?,The dataset doesn't provide information about adding new specializations in the future.
Can I choose more than one specialization in M.Tech?,The dataset doesn't mention whether students can select multiple specializations; you may need to contact the admissions office for details.
Is there any relaxation in eligibility criteria for reserved categories?,The original name of SRMIST was SRM Engineering College. | The original name was SRM Engineering College.
Does the M.Tech program offer internships or placements?,The dataset doesn’t include details about internships or placement opportunities.
Are there lab facilities for M.Tech students?,The student-faculty ratio at SRMIST is 15:1. | The student-faculty ratio is 15:1.
Can I get credit transfers from another university?,The dataset doesn't mention credit transfer policies; please consult the admissions office for more details.
What is the grading scale used?,The grading system uses a point-based scale ranging from Grade O (10 points) to Grade F (0 points).
What happens if I score Grade F in a subject?,Scoring Grade F means failing the course. You may be required to retake the course or exam depending on institutional rules.
Is there a revaluation process for grades?,Mobile phones are allowed but restricted in classrooms and during exams. | Mobile phones are allowed but restricted in classrooms and exams.
Is the grading system semester-based or annual?,SRMIST follows a zero-tolerance policy against ragging. | SRMIST has a zero-tolerance policy against ragging.
Is the MBA program recognized by UGC or AICTE?,The dataset doesn't confirm accreditation status. Please verify with official sources or the institution.
Are online classes available for any of the PG programs?,Safety measures include CCTV surveillance and biometric entry systems. | Hostels are equipped with CCTV surveillance and biometric entry systems.
Is hostel accommodation provided for PG students?,Salary ranges from INR 6 LPA to INR 40 LPA. | Salary ranges from INR 5 LPA to INR 12 LPA. | Salary ranges from INR 5 LPA to INR 15 LPA. | INR 5–12 LPA.
Can I take a gap year before joining the program?,The dataset doesn’t specify gap year policies; you should contact the admissions office for guidance.
Is there a cap on the number of seats in these PG programs?,Seat limits or intake capacity aren't mentioned in the dataset.
Are there any guest lectures or industry experts involved in teaching?,Over 85% of students get placed annually. | Over 85% of students are placed through campus recruitment. | Over 85% of students get placed.
What is the fee structure for these programs?,The highest package offered is INR 40 LPA.
Are there part-time faculty members in these programs?,The dataset doesn't contain any information about faculty appointments or staffing.
Can I change my program after enrollment?,Milan is the annual cultural festival of SRMIST. | Srijan is a cultural fest focusing on performing arts.
Is there a re-admission policy after dropping out?,Re-admission policies aren't covered in the dataset.
Are there elective courses in the MBA program?,Milan is open to all SRM students and external colleges. | Milan is open to all SRM students and participants from external colleges.
Is there a minimum attendance requirement for these programs?,Attendance policies aren't included in the dataset.
Can I get a refund if I withdraw from the program?,Refund or cancellation policies aren't covered in the dataset.
Which college is the Pharmacy Research department part of?,It is part of the College of Medicine & Health Sciences.
What does the Pharmacy Research department focus on?,"The department focuses on advancing pharmaceutical sciences through high-quality teaching, research, and industry collaboration. It contributes to drug discovery, formulation development, and healthcare innovation."
What is the vision of the Pharmacy Research department?,"To become a leading center for pharmacy research that contributes to global health through innovation, interdisciplinary collaboration, and translational research."
